,18_w/o_pret,50_w/o_pret,18_w/_pret,50_w/_pret
train,"[array(0.73144952), array(0.73493719), array(0.73486601), array(0.73493719), array(0.73518631), array(0.73493719), array(0.73486601), array(0.73515072), array(0.73518631), array(0.73511513)]","[array(0.73109363), array(0.73287306), array(0.73258835), array(0.73297982), array(0.73276629), array(0.73255276), array(0.733051), array(0.73330012), array(0.73347806), array(0.73337129)]","[array(0.74031104), array(0.75774939), array(0.76792768), array(0.77419125), array(0.78034806), array(0.78479661), array(0.79024165), array(0.79486814), array(0.79657639), array(0.79842699)]","[array(0.73995516), array(0.76949358), array(0.78138012), array(0.79049076), array(0.7977864), array(0.80184348), array(0.80686145), array(0.81362326), array(0.81821417), array(0.8239795)]"
val,"[array(0.73352313), array(0.73338078), array(0.73338078), array(0.73437722), array(0.73181495), array(0.73380783), array(0.73352313), array(0.73323843), array(0.73338078), array(0.73366548)]","[array(0.73352313), array(0.73352313), array(0.73352313), array(0.73352313), array(0.73352313), array(0.73352313), array(0.72967972), array(0.73323843), array(0.73352313), array(0.72996441)]","[array(0.75245552), array(0.76384342), array(0.76711744), array(0.77451957), array(0.77935943), array(0.78149466), array(0.78234875), array(0.78761566), array(0.78761566), array(0.78846975)]","[array(0.75629893), array(0.77010676), array(0.78021352), array(0.78718861), array(0.79131673), array(0.793879), array(0.79601423), array(0.79430605), array(0.79914591), array(0.79814947)]"
